Collision Pairs (after SRDF filtering):
Pair 0: base_link_0 <-> lewis_fr3_link2_0
Pair 1: base_link_0 <-> lewis_fr3_link2_1
Pair 2: base_link_0 <-> lewis_fr3_link2_2
Pair 3: base_link_0 <-> lewis_fr3_link2_3
Pair 4: base_link_0 <-> lewis_fr3_link3_0
Pair 5: base_link_0 <-> lewis_fr3_link3_1
Pair 6: base_link_0 <-> lewis_fr3_link3_2
Pair 7: base_link_0 <-> lewis_fr3_link3_3
Pair 8: base_link_0 <-> lewis_fr3_link4_0
Pair 9: base_link_0 <-> lewis_fr3_link4_1
Pair 10: base_link_0 <-> lewis_fr3_link4_2
Pair 11: base_link_0 <-> lewis_fr3_link4_3
Pair 12: base_link_0 <-> lewis_fr3_link5_0
Pair 13: base_link_0 <-> lewis_fr3_link5_1
Pair 14: base_link_0 <-> lewis_fr3_link5_2
Pair 15: base_link_0 <-> lewis_fr3_link5_3
Pair 16: base_link_0 <-> lewis_fr3_link5_4
Pair 17: base_link_0 <-> lewis_fr3_link5_5
Pair 18: base_link_0 <-> lewis_fr3_link5_6
Pair 19: base_link_0 <-> lewis_fr3_link5_7
Pair 20: base_link_0 <-> lewis_fr3_link5_8
Pair 21: base_link_0 <-> lewis_fr3_link5_9
Pair 22: base_link_0 <-> lewis_fr3_link5_10
Pair 23: base_link_0 <-> lewis_fr3_link5_11
Pair 24: base_link_0 <-> lewis_fr3_link6_0
Pair 25: base_link_0 <-> lewis_fr3_link6_1
Pair 26: base_link_0 <-> lewis_fr3_link6_2
Pair 27: base_link_0 <-> lewis_fr3_link7_0
Pair 28: base_link_0 <-> lewis_fr3_link7_1
Pair 29: base_link_0 <-> lewis_fr3_link7_2
Pair 30: base_link_0 <-> lewis_fr3_link7_3
Pair 31: base_link_0 <-> lewis_fr3_link7_4
Pair 32: base_link_0 <-> richard_fr3_link2_0
Pair 33: base_link_0 <-> richard_fr3_link2_1
Pair 34: base_link_0 <-> richard_fr3_link2_2
Pair 35: base_link_0 <-> richard_fr3_link2_3
Pair 36: base_link_0 <-> richard_fr3_link3_0
Pair 37: base_link_0 <-> richard_fr3_link3_1
Pair 38: base_link_0 <-> richard_fr3_link3_2
Pair 39: base_link_0 <-> richard_fr3_link3_3
Pair 40: base_link_0 <-> richard_fr3_link4_0
Pair 41: base_link_0 <-> richard_fr3_link4_1
Pair 42: base_link_0 <-> richard_fr3_link4_2
Pair 43: base_link_0 <-> richard_fr3_link4_3
Pair 44: base_link_0 <-> richard_fr3_link5_0
Pair 45: base_link_0 <-> richard_fr3_link5_1
Pair 46: base_link_0 <-> richard_fr3_link5_2
Pair 47: base_link_0 <-> richard_fr3_link5_3
Pair 48: base_link_0 <-> richard_fr3_link5_4
Pair 49: base_link_0 <-> richard_fr3_link5_5
Pair 50: base_link_0 <-> richard_fr3_link5_6
Pair 51: base_link_0 <-> richard_fr3_link5_7
Pair 52: base_link_0 <-> richard_fr3_link5_8
Pair 53: base_link_0 <-> richard_fr3_link5_9
Pair 54: base_link_0 <-> richard_fr3_link5_10
Pair 55: base_link_0 <-> richard_fr3_link5_11
Pair 56: base_link_0 <-> richard_fr3_link6_0
Pair 57: base_link_0 <-> richard_fr3_link6_1
Pair 58: base_link_0 <-> richard_fr3_link6_2
Pair 59: base_link_0 <-> richard_fr3_link7_0
Pair 60: base_link_0 <-> richard_fr3_link7_1
Pair 61: base_link_0 <-> richard_fr3_link7_2
Pair 62: base_link_0 <-> richard_fr3_link7_3
Pair 63: base_link_0 <-> richard_fr3_link7_4
Pair 64: lewis_fr3_link0_0 <-> lewis_fr3_link3_0
Pair 65: lewis_fr3_link0_0 <-> lewis_fr3_link3_1
Pair 66: lewis_fr3_link0_0 <-> lewis_fr3_link3_2
Pair 67: lewis_fr3_link0_0 <-> lewis_fr3_link3_3
Pair 68: lewis_fr3_link0_0 <-> lewis_fr3_link4_0
Pair 69: lewis_fr3_link0_0 <-> lewis_fr3_link4_1
Pair 70: lewis_fr3_link0_0 <-> lewis_fr3_link4_2
Pair 71: lewis_fr3_link0_0 <-> lewis_fr3_link4_3
Pair 72: lewis_fr3_link0_0 <-> lewis_fr3_link5_0
Pair 73: lewis_fr3_link0_0 <-> lewis_fr3_link5_1
Pair 74: lewis_fr3_link0_0 <-> lewis_fr3_link5_2
Pair 75: lewis_fr3_link0_0 <-> lewis_fr3_link5_3
Pair 76: lewis_fr3_link0_0 <-> lewis_fr3_link5_4
Pair 77: lewis_fr3_link0_0 <-> lewis_fr3_link5_5
Pair 78: lewis_fr3_link0_0 <-> lewis_fr3_link5_6
Pair 79: lewis_fr3_link0_0 <-> lewis_fr3_link5_7
Pair 80: lewis_fr3_link0_0 <-> lewis_fr3_link5_8
Pair 81: lewis_fr3_link0_0 <-> lewis_fr3_link5_9
Pair 82: lewis_fr3_link0_0 <-> lewis_fr3_link5_10
Pair 83: lewis_fr3_link0_0 <-> lewis_fr3_link5_11
Pair 84: lewis_fr3_link0_0 <-> lewis_fr3_link6_0
Pair 85: lewis_fr3_link0_0 <-> lewis_fr3_link6_1
Pair 86: lewis_fr3_link0_0 <-> lewis_fr3_link6_2
Pair 87: lewis_fr3_link0_0 <-> lewis_fr3_link7_0
Pair 88: lewis_fr3_link0_0 <-> lewis_fr3_link7_1
Pair 89: lewis_fr3_link0_0 <-> lewis_fr3_link7_2
Pair 90: lewis_fr3_link0_0 <-> lewis_fr3_link7_3
Pair 91: lewis_fr3_link0_0 <-> lewis_fr3_link7_4
Pair 92: lewis_fr3_link0_0 <-> richard_fr3_link1_0
Pair 93: lewis_fr3_link0_0 <-> richard_fr3_link1_1
Pair 94: lewis_fr3_link0_0 <-> richard_fr3_link1_2
Pair 95: lewis_fr3_link0_0 <-> richard_fr3_link1_3
Pair 96: lewis_fr3_link0_0 <-> richard_fr3_link2_0
Pair 97: lewis_fr3_link0_0 <-> richard_fr3_link2_1
Pair 98: lewis_fr3_link0_0 <-> richard_fr3_link2_2
Pair 99: lewis_fr3_link0_0 <-> richard_fr3_link2_3
Pair 100: lewis_fr3_link0_0 <-> richard_fr3_link3_0
Pair 101: lewis_fr3_link0_0 <-> richard_fr3_link3_1
Pair 102: lewis_fr3_link0_0 <-> richard_fr3_link3_2
Pair 103: lewis_fr3_link0_0 <-> richard_fr3_link3_3
Pair 104: lewis_fr3_link0_0 <-> richard_fr3_link4_0
Pair 105: lewis_fr3_link0_0 <-> richard_fr3_link4_1
Pair 106: lewis_fr3_link0_0 <-> richard_fr3_link4_2
Pair 107: lewis_fr3_link0_0 <-> richard_fr3_link4_3
Pair 108: lewis_fr3_link0_0 <-> richard_fr3_link5_0
Pair 109: lewis_fr3_link0_0 <-> richard_fr3_link5_1
Pair 110: lewis_fr3_link0_0 <-> richard_fr3_link5_2
Pair 111: lewis_fr3_link0_0 <-> richard_fr3_link5_3
Pair 112: lewis_fr3_link0_0 <-> richard_fr3_link5_4
Pair 113: lewis_fr3_link0_0 <-> richard_fr3_link5_5
Pair 114: lewis_fr3_link0_0 <-> richard_fr3_link5_6
Pair 115: lewis_fr3_link0_0 <-> richard_fr3_link5_7
Pair 116: lewis_fr3_link0_0 <-> richard_fr3_link5_8
Pair 117: lewis_fr3_link0_0 <-> richard_fr3_link5_9
Pair 118: lewis_fr3_link0_0 <-> richard_fr3_link5_10
Pair 119: lewis_fr3_link0_0 <-> richard_fr3_link5_11
Pair 120: lewis_fr3_link0_0 <-> richard_fr3_link6_0
Pair 121: lewis_fr3_link0_0 <-> richard_fr3_link6_1
Pair 122: lewis_fr3_link0_0 <-> richard_fr3_link6_2
Pair 123: lewis_fr3_link0_0 <-> richard_fr3_link7_0
Pair 124: lewis_fr3_link0_0 <-> richard_fr3_link7_1
Pair 125: lewis_fr3_link0_0 <-> richard_fr3_link7_2
Pair 126: lewis_fr3_link0_0 <-> richard_fr3_link7_3
Pair 127: lewis_fr3_link0_0 <-> richard_fr3_link7_4
Pair 128: lewis_fr3_link1_0 <-> lewis_fr3_link4_0
Pair 129: lewis_fr3_link1_0 <-> lewis_fr3_link4_1
Pair 130: lewis_fr3_link1_0 <-> lewis_fr3_link4_2
Pair 131: lewis_fr3_link1_0 <-> lewis_fr3_link4_3
Pair 132: lewis_fr3_link1_0 <-> lewis_fr3_link5_0
Pair 133: lewis_fr3_link1_0 <-> lewis_fr3_link5_1
Pair 134: lewis_fr3_link1_0 <-> lewis_fr3_link5_2
Pair 135: lewis_fr3_link1_0 <-> lewis_fr3_link5_3
Pair 136: lewis_fr3_link1_0 <-> lewis_fr3_link5_4
Pair 137: lewis_fr3_link1_0 <-> lewis_fr3_link5_5
Pair 138: lewis_fr3_link1_0 <-> lewis_fr3_link5_6
Pair 139: lewis_fr3_link1_0 <-> lewis_fr3_link5_7
Pair 140: lewis_fr3_link1_0 <-> lewis_fr3_link5_8
Pair 141: lewis_fr3_link1_0 <-> lewis_fr3_link5_9
Pair 142: lewis_fr3_link1_0 <-> lewis_fr3_link5_10
Pair 143: lewis_fr3_link1_0 <-> lewis_fr3_link5_11
Pair 144: lewis_fr3_link1_0 <-> lewis_fr3_link6_0
Pair 145: lewis_fr3_link1_0 <-> lewis_fr3_link6_1
Pair 146: lewis_fr3_link1_0 <-> lewis_fr3_link6_2
Pair 147: lewis_fr3_link1_0 <-> lewis_fr3_link7_0
Pair 148: lewis_fr3_link1_0 <-> lewis_fr3_link7_1
Pair 149: lewis_fr3_link1_0 <-> lewis_fr3_link7_2
Pair 150: lewis_fr3_link1_0 <-> lewis_fr3_link7_3
Pair 151: lewis_fr3_link1_0 <-> lewis_fr3_link7_4
Pair 152: lewis_fr3_link1_0 <-> richard_fr3_link0_0
Pair 153: lewis_fr3_link1_0 <-> richard_fr3_link1_0
